loan_id,customer_id,loan_amount,interest_rate,tenure_months,loan_status,disbursement_date
1,10000,79945,11.04,36,Acive,2025-04-27
2,10000,448079,10.1,12,Acive,2026-01-30
3,10000,861885,15.04,36,Closed,2025-10-18
4,10000,883342,16.75,36,Acive,2025-02-03
5,10000,293272,12.47,24,Closed,2025-10-17
6,10000,772470,13.57,48,Acive,2026-04-18
7,10000,325916,15.0,36,Acive,2025-11-20
8,10000,175936,8.65,48,Default,2025-07-12
9,10000,898524,18.97,24,Acive,2026-03-21
10,10000,503457,13.28,6,Acive,2024-12-26
11,10000,876870,21.28,6,Acive,2025-11-03
12,10000,931951,16.51,24,Default,2025-12-27
13,10000,368684,20.08,24,Closed,2025-04-30
14,10000,682240,22.95,24,Acive,2025-01-16
15,10000,344624,19.91,24,Closed,2026-01-23
16,10000,172713,8.97,24,Closed,2025-04-29
17,10000,82107,15.15,24,Acive,2024-10-10
18,10000,267187,13.29,6,Closed,2024-10-15
19,10000,346835,23.51,48,Acive,2025-03-29
20,10000,507246,22.5,6,Acive,2024-10-18
21,10000,362537,17.24,6,Acive,2026-04-15
22,10000,851198,12.03,48,Default,2025-12-19
23,10000,329133,23.5,12,Acive,2025-02-13
24,10000,395356,22.24,36,Closed,2025-05-24
25,10000,347241,22.02,12,Closed,2025-12-09
26,10000,976701,22.19,24,Default,2025-05-23
27,10000,977649,18.14,12,Acive,2024-06-29
28,10000,179124,22.4,6,Acive,2025-01-05
29,10000,602888,13.12,6,Acive,2024-11-15
30,10000,522353,16.78,36,Acive,2026-04-29
31,10000,405142,15.98,36,Acive,2026-01-01
32,10000,650428,13.23,24,Default,2024-07-20
33,10000,748108,10.36,12,Closed,2024-10-22
34,10000,62542,18.85,6,Closed,2026-04-07
35,10000,198223,13.51,48,Acive,2024-12-02
36,10000,358801,9.41,48,Closed,2025-04-01
37,10000,287215,13.8,6,Acive,2025-03-01
38,10000,277817,15.76,6,Acive,2025-09-28
39,10000,600654,11.5,48,Acive,2025-11-19
40,10000,128187,23.82,12,Closed,2025-12-05
41,10000,513638,8.14,12,Default,2025-04-14
42,10000,167181,8.74,24,Acive,2025-04-24
43,10000,248239,22.99,6,Default,2024-09-11
44,10000,272324,19.1,12,Default,2026-03-03
45,10000,757470,12.85,24,Default,2026-02-21
46,10000,248727,20.79,12,Closed,2024-09-24
47,10000,653297,20.94,6,Default,2024-12-27
48,10000,141938,16.32,12,Closed,2025-04-22
49,10000,520084,21.09,24,Acive,2024-09-19
50,10000,967536,17.73,24,Closed,2025-06-26
51,10000,885463,11.96,12,Closed,2025-06-05
52,10000,330343,10.05,6,Closed,2026-04-28
53,10000,881752,18.26,12,Acive,2024-11-12
54,10000,531229,19.21,12,Acive,2025-04-23
55,10000,664745,10.34,6,Default,2025-06-18
56,10000,785376,10.4,36,Default,2025-09-11
57,10000,276199,21.18,48,Default,2026-01-10
58,10000,363730,10.67,6,Closed,2026-02-04
59,10000,547674,8.16,6,Acive,2024-11-10
60,10000,325663,8.78,36,Acive,2025-09-22
61,10000,858735,16.02,12,Default,2025-08-20
62,10000,692595,20.35,24,Closed,2025-08-04
63,10000,451227,10.67,12,Closed,2025-09-18
64,10000,849252,8.42,36,Default,2024-06-08
65,10000,396112,8.8,48,Closed,2024-09-18
66,10000,415226,10.62,48,Default,2026-02-21
67,10000,177239,9.55,48,Acive,2025-11-12
68,10000,386108,17.78,24,Acive,2026-01-19
69,10000,627985,12.48,12,Default,2024-10-25
70,10000,448973,15.02,12,Closed,2024-06-08
71,10000,515324,14.5,36,Acive,2025-12-07
72,10000,111605,9.1,36,Acive,2026-03-23
73,10000,649390,16.59,12,Default,2025-03-06
74,10000,126231,8.42,12,Closed,2024-08-28
75,10000,50269,11.92,6,Acive,2024-07-31
76,10000,709463,16.16,6,Closed,2024-09-22
77,10000,506270,23.03,12,Closed,2025-12-02
78,10000,727453,16.14,6,Acive,2025-06-02
