repayment_id,loan_id,due_date,payment_date,amount_paid,repayment_status
1,5508,2025-09-16,2026-04-20,9521.24,Missed
2,9144,2026-04-09,2025-09-22,18498.87,On-Time
3,1939,2026-03-12,2025-07-26,24573.49,Missed
4,6588,2025-09-02,2026-04-29,8339.99,Late
5,10102,2025-07-20,2025-11-26,36234.69,Late
6,2024,2025-08-12,2025-10-24,15084.34,On-Time
7,2709,2025-11-28,2026-01-25,32355.63,Missed
8,14291,2026-02-11,2025-08-19,11135.32,Late
9,11780,2025-12-16,2025-09-10,49323.37,On-Time
10,4112,2026-03-24,2025-12-27,11421.23,Late
11,11596,2026-02-02,2025-08-06,26162.59,On-Time
12,1506,2025-07-17,2026-03-18,27342.23,Missed
13,10611,2025-06-25,2026-03-14,47476.18,Late
14,10819,2025-08-18,2026-02-18,43807.98,On-Time
15,13418,2025-07-30,2026-01-15,20483.33,Missed
16,7730,2026-04-30,2025-07-05,42108.63,On-Time
17,13007,2025-06-23,2026-03-05,36318.14,Late
18,10064,2025-10-06,2026-01-31,19369.32,Late
19,9174,2026-01-21,2026-03-27,15167.24,Late
20,3245,2025-07-01,2025-09-10,46789.98,Late
21,7686,2026-04-21,2026-04-06,41769.95,On-Time
22,2323,2025-10-29,2025-05-30,16144.54,Missed
23,12384,2026-01-15,2025-08-24,8729.11,On-Time
24,9403,2025-10-15,2025-12-01,5980.56,Missed
25,3121,2025-12-26,2025-12-31,18262.24,Late
26,11981,2025-12-25,2026-04-02,15711.4,Late
27,9194,2026-04-15,2026-01-23,29032.54,Late
28,11645,2025-11-05,2026-01-12,20826.11,On-Time
29,10035,2026-02-19,2026-02-20,11424.9,Missed
30,8094,2025-06-21,2025-10-07,14261.16,On-Time
31,1002,2025-07-16,2025-08-10,21920.31,Missed
32,8525,2025-07-22,2025-08-21,21985.03,On-Time
33,11036,2025-10-08,2025-09-04,27083.02,Late
34,12181,2026-03-08,2025-10-02,15451.29,On-Time
35,5050,2025-10-02,2025-12-19,12301.72,Missed
36,14751,2025-12-12,2025-11-12,26956.52,Missed
37,1643,2025-07-31,2026-03-30,25696.34,On-Time
38,6707,2025-12-26,2026-05-05,47451.83,Late
39,14929,2025-07-16,2026-05-09,7385.48,Missed
40,12276,2025-07-31,2026-01-20,3117.0,Missed
41,5151,2025-08-23,2026-01-18,5928.87,Missed
42,6663,2025-08-11,2025-08-06,32733.41,Late
43,9594,2025-10-20,2025-07-14,43273.0,On-Time
44,3763,2025-09-13,2025-11-20,9790.52,Late
45,8291,2026-03-02,2026-04-04,43386.1,Missed
46,7576,2025-11-26,2025-06-20,24558.71,On-Time
47,7166,2026-05-09,2026-04-21,5187.86,Late
48,7936,2025-10-07,2026-05-06,23174.43,Missed
49,13030,2025-09-25,2025-10-22,38034.3,Missed
50,3500,2026-04-07,2025-10-05,32602.77,Late
51,14073,2025-09-07,2026-01-09,49850.86,On-Time
52,14999,2025-05-29,2025-10-01,38938.16,Late
53,10666,2025-07-22,2026-03-18,11172.31,Missed
54,1556,2026-04-08,2026-01-05,9677.48,Missed
55,14047,2026-01-14,2025-11-13,2405.32,Missed
56,3349,2025-07-10,2026-04-24,23673.18,Missed
