transaction_id,customer_id,transaction_date,transaction_type,merchant_category,amount
1,6264,2025-12-03,Card,Healthcare,18052.15
2,9441,2026-02-10,Card,Entertainment,16763.57
3,3371,2025-11-10,Bank Transfer,Healthcare,32027.13
4,3608,2025-07-27,UPI,Food,8787.62
5,8580,2025-09-30,UPI,Bills,48366.9
6,8631,2025-07-11,Bank Transfer,Entertainment,49916.98
7,4734,2025-10-01,Wallet,Shopping,43198.9
8,985,2026-01-28,Card,Shopping,331.4
9,195,2025-06-07,UPI,Shopping,40297.55
10,521,2026-01-17,UPI,Travel,36844.22
11,6772,2026-03-27,Card,Food,3648.07
12,7049,2025-07-19,Bank Transfer,Travel,18946.6
13,5320,2026-02-02,Card,Travel,17452.29
14,5936,2026-01-22,UPI,Travel,500.36
15,5903,2025-09-10,Bank Transfer,Travel,12096.21
16,7024,2026-01-18,Card,Shopping,20951.24
17,1452,2025-06-27,Card,Bills,25868.89
18,8085,2026-02-17,UPI,Food,10247.27
19,1470,2025-08-17,Bank Transfer,Healthcare,42802.59
20,41,2025-09-14,Card,Food,25848.8
21,8104,2026-03-15,Bank Transfer,Bills,9060.56
22,5625,2025-10-21,UPI,Travel,43311.93
23,627,2025-12-25,Bank Transfer,Food,21381.94
24,275,2026-01-16,Card,Entertainment,9564.64
25,8144,2025-11-13,Bank Transfer,Food,42068.44
26,9063,2025-06-05,UPI,Bills,14032.06
27,4448,2025-08-30,UPI,Food,30966.07
28,3636,2025-12-20,UPI,Healthcare,6352.49
29,5152,2026-05-02,Wallet,Travel,8030.82
30,1400,2026-04-22,Wallet,Entertainment,38725.45
31,9154,2026-03-12,Wallet,Shopping,5371.27
32,4678,2026-01-21,UPI,Bills,10125.3
33,3427,2025-11-10,Bank Transfer,Food,26261.07
34,9814,2026-01-24,Card,Shopping,48106.88
35,8041,2025-09-23,Bank Transfer,Healthcare,2874.72
36,8200,2025-10-20,UPI,Bills,36263.55
37,261,2026-05-09,UPI,Food,49099.81
38,8803,2025-09-01,Card,Healthcare,17001.67
39,6881,2025-08-24,Wallet,Food,24745.89
40,4977,2025-07-05,Wallet,Food,22705.83
41,7924,2026-03-02,Wallet,Healthcare,24894.34
42,5750,2025-12-16,Wallet,Entertainment,41479.1
43,9555,2026-01-06,UPI,Bills,23735.25
44,79,2026-04-20,UPI,Entertainment,31145.94
45,5040,2025-10-13,UPI,Shopping,8471.13
46,8698,2026-01-16,Wallet,Healthcare,37230.77
47,5680,2025-11-02,UPI,Shopping,4638.68
48,3880,2025-07-20,Card,Healthcare,24783.75
49,9436,2026-03-17,Wallet,Entertainment,17112.71
50,3924,2026-02-24,UPI,Shopping,12303.2
51,2793,2025-12-01,Bank Transfer,Bills,24188.33
52,3833,2026-01-07,Wallet,Bills,45113.66
53,7897,2025-10-29,Wallet,Entertainment,34098.75
54,9281,2025-08-14,UPI,Food,39383.48
55,2508,2025-06-05,Bank Transfer,Shopping,33598.58
56,1521,2026-02-22,Card,Food,14515.82
57,2054,2026-02-09,Wallet,Bills,36841.08
58,1924,2025-10-12,Wallet,Food,30323.0
59,4008,2026-04-07,UPI,Travel,39258.78
60,3894,2025-11-22,Wallet,Entertainment,25352.09
61,6375,2025-05-24,Card,Food,33069.17
62,741,2026-05-05,Card,Shopping,39042.11
63,1738,2026-02-25,Card,Healthcare,49205.62
64,6156,2025-10-27,Card,Entertainment,47026.2
65,4374,2025-10-10,Wallet,Healthcare,33871.73
66,8726,2025-07-02,UPI,Entertainment,47740.68
67,7433,2025-05-26,Wallet,Travel,652.62
68,6209,2026-03-06,Wallet,Healthcare,29399.37
69,7872,2025-12-27,Bank Transfer,Healthcare,36363.27
70,7806,2025-11-23,Bank Transfer,Entertainment,21549.8
71,3591,2025-11-26,UPI,Bills,32188.52
72,4575,2026-03-11,Card,Healthcare,4966.12
73,8950,2025-08-13,Card,Healthcare,48628.56
74,1855,2025-08-18,Card,Healthcare,16268.94
75,5958,2026-03-31,Bank Transfer,Healthcare,1656.83
76,5111,2025-07-22,Card,Entertainment,38783.54
77,1469,2025-10-09,UPI,Bills,7733.96
78,2745,2025-07-01,Wallet,Entertainment,28536.71
79,9548,2025-09-22,UPI,Food,35146.35
80,4119,2026-04-02,UPI,Travel,30192.65
81,5173,2026-03-13,UPI,Bills,9699.13
82,4818,2025-06-29,Card,Travel,29952.13
83,9920,2025-12-08,Bank Transfer,Entertainment,28939.8
84,9859,2026-02-25,Card,Entertainment,18924.94
85,857,2026-02-23,Card,Entertainment,28390.81
86,5797,2025-07-11,Bank Transfer,Food,15795.0
87,6803,2025-10-08,Wallet,Food,18634.65
88,8544,2026-03-13,Card,Food,19191.76
89,4197,2025-11-04,Wallet,Bills,25259.19
90,8757,2026-01-01,UPI,Shopping,28047.17
91,4034,2025-08-06,Card,Entertainment,43981.93
92,6341,2025-11-25,Wallet,Travel,174.26
93,4007,2026-03-23,Bank Transfer,Healthcare,5314.78
94,2426,2025-06-25,Card,Travel,38505.23
95,1969,2026-01-29,Wallet,Bills,2282.72
96,8260,2025-09-10,Wallet,Shopping,42819.85
97,7009,2026-03-03,Card,Shopping,7166.58
98,6186,2026-02-23,Card,Entertainment,22465.51
99,4726,2025-10-26,Card,Bills,5216.11
100,9004,2025-08-02,Wallet,Shopping,20290.59
101,1127,2025-08-20,Wallet,Bills,17882.56
102,8549,2025-07-20,Bank Transfer,Healthcare,45657.07
103,5357,2025-11-11,Bank Transfer,Healthcare,27785.0
104,7869,2026-01-30,Bank Transfer,Healthcare,15957.38
105,2311,2025-06-14,Bank Transfer,Travel,7774.41
106,9960,2025-11-22,Wallet,Shopping,42188.1
107,2269,2026-03-13,Wallet,Bills,31566.55
108,8593,2026-05-07,Bank Transfer,Bills,31712.21
109,8091,2026-04-25,Bank Transfer,Entertainment,39418.51
110,3332,2026-05-05,Wallet,Shopping,34168.91
111,6974,2025-06-19,Card,Healthcare,23744.96
112,794,2025-06-20,Bank Transfer,Entertainment,18087.21
113,4548,2026-04-05,Wallet,Bills,29067.17
114,9021,2025-07-28,Wallet,Entertainment,9732.45
115,5625,2025-09-20,Wallet,Healthcare,16754.88
116,4449,2026-02-26,Bank Transfer,Healthcare,40189.6
117,3591,2025-06-01,Card,Healthcare,42894.55
118,1370,2025-11-17,Wallet,Travel,14594.65
119,6887,2025-07-09,Bank Transfer,Bills,45804.59
120,2607,2026-04-23,Bank Transfer,Food,44039.81
121,8754,2026-04-02,Wallet,Food,42821.5
122,909,2026-04-10,Wallet,Healthcare,12729.16
123,8679,2025-11-29,UPI,Entertainment,39655.65
124,8653,2026-01-26,Bank Transfer,Entertainment,45387.84
125,3806,2025-06-29,UPI,Shopping,8200.83
126,8066,2025-12-08,Wallet,Bills,48736.07
127,2998,2025-07-12,UPI,Healthcare,34887.94
128,4467,2026-01-31,Bank Transfer,Entertainment,5493.59
129,3049,2026-03-19,UPI,Food,22164.97
130,586,2025-09-15,Wallet,Travel,2740.0
131,5342,2026-04-09,Bank Transfer,Healthcare,9844.59
132,9262,2026-04-04,Wallet,Travel,26908.87
133,2630,2026-01-30,Wallet,Bills,29308.86
134,8959,2025-10-08,Card,Travel,38924.26
135,171,2025-12-25,Bank Transfer,Entertainment,31365.37
136,667,2025-09-21,UPI,Bills,10018.23
137,8623,2025-09-27,Bank Transfer,Travel,26939.04
138,1731,2026-02-07,Wallet,Healthcare,13188.64
139,7726,2026-01-23,Wallet,Food,14743.62
140,1683,2025-12-03,Wallet,Shopping,24221.96
141,4222,2026-02-15,Wallet,Travel,17721.91
142,2782,2026-04-26,Bank Transfer,Bills,28555.45
143,6415,2026-03-01,Card,Shopping,1423.97
144,4827,2026-04-14,UPI,Entertainment,4947.72
145,7886,2025-07-20,UPI,Bills,41030.47
146,1655,2025-10-03,Bank Transfer,Healthcare,32455.37
147,2269,2026-01-28,Card,Food,48696.08
148,2108,2025-11-16,Card,Shopping,29590.89
149,322,2025-06-24,Card,Entertainment,19285.49
150,7868,2025-06-09,UPI,Shopping,3515.47
151,68,2025-08-13,Wallet,Food,869.66
152,3884,2025-12-10,Wallet,Healthcare,46724.6
153,781,2026-01-22,UPI,Healthcare,11646.5
154,9492,2025-05-25,Bank Transfer,Travel,40854.5
155,986,2025-06-26,Bank Transfer,Bills,5180.64
156,1278,2025-11-26,Wallet,Travel,32649.99
157,3855,2025-09-12,Bank Transfer,Shopping,40270.31
158,6465,2025-10-10,Card,Bills,5627.92
159,8949,2026-03-22,Card,Shopping,28708.86
160,8736,2025-10-17,Card,Bills,7749.96
161,6395,2025-11-15,Card,Entertainment,4190.48
162,3575,2026-04-23,Wallet,Bills,1604.84
163,599,2025-07-18,Bank Transfer,Shopping,12074.57
164,3731,2026-01-03,UPI,Entertainment,4536.46
165,8184,2025-10-04,UPI,Food,27573.95
166,6373,2026-01-16,Wallet,Food,9498.7
167,1036,2025-09-18,Card,Healthcare,21298.58
168,3250,2026-02-07,Card,Shopping,49751.5
169,6047,2025-06-03,Bank Transfer,Shopping,24946.1
170,8096,2025-12-08,Card,Entertainment,13191.19
171,1485,2025-09-12,Wallet,Travel,42165.6
172,1809,2025-08-06,UPI,Food,11377.77
173,9710,2025-08-12,UPI,Healthcare,43935.99
174,1559,2026-02-02,Card,Bills,1174.4
175,8572,2025-06-06,Card,Healthcare,9069.73
176,1144,2025-09-29,UPI,Food,2612.44
177,9540,2026-05-04,Wallet,Food,37227.58
178,1374,2025-10-18,UPI,Food,5451.45
179,1046,2026-02-11,Bank Transfer,Food,22295.46
180,6650,2026-04-09,Bank Transfer,Shopping,4787.06
181,6295,2026-01-23,Card,Bills,20954.06
182,5952,2026-01-17,UPI,Food,20325.03
183,5641,2025-06-15,Bank Transfer,Bills,23051.62
184,872,2025-10-15,Wallet,Entertainment,15891.95
185,7864,2025-09-08,Wallet,Entertainment,15514.96
186,7660,2025-05-13,Bank Transfer,Food,41212.14
187,1310,2025-05-19,UPI,Healthcare,5014.36
188,6049,2026-04-14,Bank Transfer,Food,25068.89
189,9429,2025-08-21,Wallet,Healthcare,19510.66
190,2687,2025-08-12,Bank Transfer,Entertainment,11391.19
191,6253,2026-04-04,Bank Transfer,Travel,19019.85
192,9605,2026-03-24,Card,Travel,18257.15
193,3521,2026-03-24,UPI,Entertainment,39277.42
194,9054,2026-03-23,UPI,Entertainment,37149.11
195,6837,2025-08-07,Wallet,Healthcare,34293.47
